,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
0,1986-87,Duke,ACC,29,0,192,.577,.580,.000,.284,,,,16.1,6.9,,1.3,12.4,25.7,abdelal01,alaa-abdelnaby-1
1,1987-88,Duke,ACC,34,1,320,.543,.496,.000,.512,,,,12.0,1.6,,0.8,17.7,26.1,abdelal01,alaa-abdelnaby-1
2,1988-89,Duke,ACC,33,19,530,.649,.634,.000,.345,,,,13.3,3.6,,2.5,15.0,22.1,abdelal01,alaa-abdelnaby-1
3,1989-90,Duke,ACC,38,37,947,.658,.620,.000,.509,,,,14.5,5.4,,3.7,11.1,22.0,abdelal01,alaa-abdelnaby-1
4,1988-89,LSU,SEC,32,,1180,.579,.543,.292,.271,,,,,,,,11.9,,abdulma02,mahmoud-abdul-rauf-1
5,1989-90,LSU,SEC,32,,1202,.584,.527,.372,.317,,,,,,,,13.3,,abdulma02,mahmoud-abdul-rauf-1
6,1987-88,Iowa State,Big 8,23,0,120,.594,.600,.000,.200,,,,,,,,17.6,,alexavi01,victor-alexander-1
7,1988-89,Iowa State,Big 8,29,29,923,.598,.583,.000,.362,,,,,,,,14.4,,alexavi01,victor-alexander-1
8,1989-90,Iowa State,Big 8,28,26,887,.590,.585,.003,.448,,,,,,,,7.0,,alexavi01,victor-alexander-1
9,1990-91,Iowa State,Big 8,31,29,1020,.669,.659,.000,.451,,,,,,,,13.6,,alexavi01,victor-alexander-1
10,1983-84,Indiana,Big Ten,31,27,1178,.665,,,.519,,,,,,,,14.9,,alforst01,steve-alford-1
11,1984-85,Indiana,Big Ten,32,31,1152,.591,,,.292,,,,,,,,9.1,,alforst01,steve-alford-1
12,1985-86,Indiana,Big Ten,28,28,1036,.602,,,.306,,,,,,,,8.7,,alforst01,steve-alford-1
13,1986-87,Indiana,Big Ten,34,34,1258,.631,.580,.398,.354,,,,,,,,9.7,,alforst01,steve-alford-1
14,1983-84,Florida State,Metro,30,,879,.519,,,.346,,,,,,,,12.5,,allenra01,randy-allen-1
15,1984-85,Florida State,Metro,28,,901,.545,,,.287,,,,,,,,9.7,,allenra01,randy-allen-1
16,1985-86,Florida State,Metro,27,,849,.484,,,.339,,,,,,,,10.9,,allenra01,randy-allen-1
17,1986-87,Florida State,Metro,30,29,954,.505,.462,.006,.407,,,,,,,,8.6,,allenra01,randy-allen-1
18,1988-89,Indiana,Big Ten,34,32,964,.593,.545,.000,.590,,,,,,,,13.9,,anderer01,eric-anderson-1
19,1989-90,Indiana,Big Ten,29,28,957,.578,.540,.021,.434,,,,,,,,13.5,,anderer01,eric-anderson-1
20,1990-91,Indiana,Big Ten,34,34,1039,.550,.509,.012,.478,,,,,,,,11.1,,anderer01,eric-anderson-1
21,1991-92,Indiana,Big Ten,34,24,948,.557,.504,.149,.387,,,,10.4,8.8,,3.4,11.2,18.9,anderer01,eric-anderson-1
22,1983-84,Houston,SWC,35,,414,.495,,,.356,,,,,,,,10.6,,andergr01,greg-anderson-1
23,1984-85,Houston,SWC,30,30,931,.571,,,.375,,,,,,,,14.4,,andergr01,greg-anderson-1
24,1985-86,Houston,SWC,28,,1055,.580,,,.481,,,,,,,,14.8,,andergr01,greg-anderson-1
25,1986-87,Houston,SWC,30,30,1057,.546,.526,.000,.469,,,,,,,,15.2,,andergr01,greg-anderson-1
26,1989-90,Georgia Tech,ACC,35,35,1321,.583,.559,.213,.266,,,,,,,,18.4,,anderke01,kenny-anderson-1
27,1990-91,Georgia Tech,ACC,30,29,1167,.535,.488,.291,.294,,,,,,,,13.5,,anderke01,kenny-anderson-1
28,1984-85,Drexel,ECC,28,,887,.519,,,.710,,,,,,,,24.7,,andermi01,michael-anderson-1
29,1985-86,Drexel,ECC,31,,1116,.594,,,.777,,,,,,,,20.1,,andermi01,michael-anderson-1
30,1986-87,Drexel,ECC,28,,1025,.571,.509,.169,.592,,,,,,,,19.3,,andermi01,michael-anderson-1
31,1987-88,Drexel,ECC,28,,1021,.560,.504,.192,.524,,,,,,,,19.6,,andermi01,michael-anderson-1
32,1987-88,Illinois,Big Ten,33,25,909,.587,.574,.015,.308,,,,,,,,11.3,,anderni01,nick-anderson-1
33,1988-89,Illinois,Big Ten,36,32,1125,.580,.563,.136,.304,,,,,,,,9.6,,anderni01,nick-anderson-1
34,1984-85,Georgia,SEC,13,,80,.502,,,.205,,,,,,,,15.7,,anderwi01,willie-anderson-1
35,1985-86,Georgia,SEC,29,0,493,.544,,,.310,,,,,,,,18.4,,anderwi01,willie-anderson-1
36,1986-87,Georgia,SEC,30,29,1047,.567,.533,.171,.259,,,,,,,,21.5,,anderwi01,willie-anderson-1
37,1987-88,Georgia,SEC,35,,1161,.543,.510,.091,.241,,,,,,,,19.4,,anderwi01,willie-anderson-1
38,1985-86,Alabama,SEC,33,,594,.600,,,.271,,,,,,,,14.2,,anslemi01,michael-ansley-1
