,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
0,2008-09,Baylor,Big 12,34,10,558,,.641,.655,.000,.655,,,,,,,,18.6,,,1.4,1.1,2.5,.181,,,,,acyqu01,quincy-acy-1
1,2009-10,Baylor,Big 12,36,0,840,21.7,.707,.697,.000,.451,295,9.7,14.4,12.3,2.5,1.2,3.5,16.0,16.9,,2.6,1.3,3.9,.187,,,,,acyqu01,quincy-acy-1
2,2010-11,Baylor,Big 12,31,18,960,21.8,.578,.535,.008,.633,376,11.5,18.4,15.1,6.3,1.8,5.3,16.3,21.2,,2.3,1.9,4.2,.177,,2.0,3.9,5.9,acyqu01,quincy-acy-1
3,2011-12,Baylor,Big 12,38,38,1130,23.5,.638,.582,.018,.635,436,10.9,20.0,15.5,6.5,1.8,6.6,16.6,19.0,,3.5,2.0,5.6,.198,,4.2,5.3,9.5,acyqu01,quincy-acy-1
4,2012-13,UCLA,Pac-12,33,27,999,23.7,.572,.509,.407,.415,447,2.4,12.2,7.2,11.3,4.2,1.1,8.3,24.0,,3.2,1.6,4.8,.191,,7.2,2.6,9.8,adamsjo01,jordan-adams-1
5,2013-14,UCLA,Pac-12,36,36,1082,28.3,.603,.545,.340,.441,594,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,,4.2,2.2,6.4,.237,,8.7,3.3,12.0,adamsjo01,jordan-adams-1
6,2012-13,Pitt,Big East,32,32,749,23.2,.555,.571,.000,.400,228,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,,1.6,1.9,3.5,.185,,3.0,8.8,11.9,adamsst01,steven-adams-1
7,2016-17,Kentucky,SEC,38,38,1145,22.0,.624,.599,.000,.831,489,11.2,17.2,14.2,4.7,1.2,4.9,13.9,18.5,,3.3,2.3,5.6,.196,,4.2,5.3,9.5,adebaba01,edrice-adebayo-1
8,2014-15,Kansas,Big 12,28,6,492,23.2,.598,.566,.000,.612,192,13.3,19.9,16.8,5.4,0.6,7.7,14.4,20.1,,1.3,1.0,2.3,.188,,3.2,5.0,8.1,alexacl01,cliff-alexander-1
9,2016-17,Texas,Big 12,33,33,1061,20.2,.571,.566,.022,.472,427,10.9,18.9,15.0,5.5,1.0,5.0,17.8,22.6,,1.5,1.7,3.3,.123,,0.8,4.6,5.5,allenja01,jarrett-allen-1
10,2015-16,Arizona,Pac-12,34,28,848,16.1,.548,.507,.233,.442,311,1.2,12.4,7.2,25.4,2.4,3.1,20.7,19.1,,1.3,1.7,3.0,.140,,2.6,5.2,7.8,allenka01,kadeem-allen-1
11,2016-17,Arizona,Pac-12,34,33,1020,16.7,.570,.521,.318,.492,340,1.5,13.8,8.1,17.8,3.1,2.3,18.3,18.1,,1.7,2.0,3.8,.148,,3.3,5.8,9.1,allenka01,kadeem-allen-1
12,2007-08,Temple,A-10,34,32,993,,.587,.563,.024,.274,,,,,,,,14.5,,,1.6,1.3,2.9,.116,,,,,allenla01,lavoy-allen-1
13,2008-09,Temple,A-10,33,31,1033,,.603,.592,.080,.310,,,,,,,,12.3,,,2.5,2.8,5.3,.207,,,,,allenla01,lavoy-allen-1
14,2009-10,Temple,A-10,35,34,1206,23.2,.557,.544,.072,.276,423,12.3,23.6,18.1,14.9,1.0,4.6,12.8,18.9,,3.2,3.2,6.4,.213,,,,,allenla01,lavoy-allen-1
15,2010-11,Temple,A-10,33,33,1120,20.3,.519,.488,.053,.308,397,9.3,20.2,14.8,13.6,1.3,5.4,12.8,19.8,,2.2,2.4,4.6,.163,,1.2,5.3,6.6,allenla01,lavoy-allen-1
16,2012-13,Virginia,ACC,35,17,841,19.4,.523,.467,.311,.420,285,5.1,13.4,9.2,20.2,2.3,6.0,14.5,20.3,,1.7,1.9,3.6,.170,,2.7,5.8,8.4,anderju01,justin-anderson-1
17,2013-14,Virginia,ACC,37,5,799,15.6,.516,.470,.432,.403,279,4.2,14.1,9.3,14.8,1.1,4.2,15.4,23.5,,1.0,1.9,2.8,.141,,1.7,4.9,6.5,anderju01,justin-anderson-1
18,2014-15,Virginia,ACC,26,22,724,23.8,.610,.572,.471,.371,283,3.1,14.4,9.0,14.0,1.6,2.5,10.7,23.3,,2.5,1.8,4.4,.241,,7.6,4.6,12.2,anderju01,justin-anderson-1
19,2012-13,UCLA,Pac-12,35,34,1046,20.2,.485,.430,.130,.399,388,8.0,25.0,16.4,20.8,3.4,2.8,17.3,20.0,,1.5,2.2,3.7,.142,,2.7,6.4,9.0,anderky01,kyle-anderson-3
20,2013-14,UCLA,Pac-12,36,36,1196,24.7,.566,.517,.154,.493,603,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,,3.1,2.6,5.6,.189,,4.7,6.2,10.8,anderky01,kyle-anderson-3
