,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
0,1956-57,24,SYR,NBA,,1,1,-41.1,.000,.000,,,,,,0.0,0.0,0.0,-2.062,ablefo01
1,1946-47,27,PIT,BAA,,47,,,.289,.213,,,,,,-1.1,-0.6,-1.7,,abramjo01
2,1947-48,28,TOT,BAA,,9,,,.125,.333,,,,,,-0.4,0.1,-0.3,,abramjo01
3,1947-48,28,STB,BAA,,4,,,.170,.400,,,,,,-0.1,0.1,-0.1,,abramjo01
4,1947-48,28,BLB,BAA,,5,,,.081,.273,,,,,,-0.2,0.0,-0.2,,abramjo01
5,1953-54,23,NYK,NBA,PG,28,220,1.0,.285,.444,,,,,,-0.7,0.1,-0.6,-0.123,ackerdo01
6,1967-68,26,SDR,NBA,SF,23,195,9.5,.444,.392,,,,7.5,,-0.1,0.2,0.1,.021,actonbu01
7,1959-60,23,DET,NBA,C,58,670,7.6,.330,.269,,,,,,-1.9,0.6,-1.3,-0.090,alcorga01
8,1960-61,24,LAL,NBA,C,20,174,2.5,.356,.200,,,,,,-0.2,0.2,0.0,-0.002,alcorga01
9,1968-69,22,SFW,NBA,PF,27,232,6.8,.408,.837,,,,5.4,,-0.1,0.3,0.1,.028,allenbo01
10,1971-72,22,GSW,NBA,SF,36,166,4.7,.320,.782,,,12.1,7.7,,-0.9,0.3,-0.6,-0.181,allisod01
11,1959-60,22,NYK,NBA,SF,33,373,9.3,.412,.294,,,,,,-0.1,0.1,0.0,.002,anderbo01
12,1969-70,24,CIN,NBA,SF,44,370,8.8,.427,.277,,,,3.2,,-0.4,0.3,-0.2,-0.023,anderwa01
13,1954-55,24,NYK,NBA,,1,10,1.8,.260,1.000,,,,,,-0.1,0.0,-0.1,-0.263,anieldo01
14,1961-62,25,STL,NBA,,7,110,10.4,.405,.232,,,,,,-0.1,0.0,-0.1,-0.036,arcenst01
