,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
0,1967-68,23,INA,ABA,PF,45,637,11.9,.449,.008,.312,,,11.3,4.1,11.6,18.6,,0.0,0.5,0.5,.040,aitchma01
1,1966-67,22,NYK,NBA,PF,50,453,8.5,.390,,.161,,,,7.4,,,,-0.9,0.2,-0.7,-0.073,akinhe01
2,1967-68,23,SEA,NBA,C,36,259,6.5,.372,,.226,,,,7.0,,,,-0.7,0.1,-0.6,-0.103,akinhe01
3,1968-69,24,KEN,ABA,PF,2,25,-1.3,.376,.500,.750,,,7.0,5.0,42.9,13.8,,0.0,0.0,0.0,-0.002,akinhe01
4,1967-68,,ANA,ABA,C,38,857,11.9,.464,.007,.354,,,13.7,3.8,10.5,15.2,,0.3,0.3,0.6,.033,allenbi01
5,1967-68,22,OAK,ABA,PG,77,1894,7.6,.427,.058,.298,,,3.8,8.8,12.3,18.7,,-0.8,0.3,-0.5,-0.012,anderan01
6,1968-69,23,TOT,ABA,SG,36,742,13.6,.527,.022,.452,,,6.6,8.2,14.0,18.4,,1.1,0.6,1.7,.107,anderan01
7,1968-69,23,OAK,ABA,,3,24,15.7,.581,.000,.333,,,7.4,16.6,16.2,17.5,,0.1,0.0,0.1,.165,anderan01
8,1968-69,23,MMF,ABA,SG,33,718,13.6,.526,.023,.456,,,6.6,7.9,13.9,18.5,,1.0,0.5,1.6,.105,anderan01
9,1969-70,24,TOT,ABA,SG,81,2150,13.0,.480,.014,.288,,,5.2,11.0,12.0,20.3,,0.8,1.5,2.3,.052,anderan01
10,1969-70,24,MMF,ABA,SG,32,617,12.3,.507,.008,.447,,,4.1,8.8,15.1,20.8,,0.7,0.4,1.0,.078,anderan01
11,1969-70,24,LAS,ABA,SG,49,1533,13.2,.470,.016,.229,,,5.7,11.9,10.7,20.1,,0.1,1.2,1.3,.041,anderan01
12,1967-68,23,LAL,NBA,SG,18,94,4.5,.315,,.966,,,,20.3,,,,-0.3,0.1,-0.2,-0.113,andercl01
13,1968-69,24,LAL,NBA,SG,35,289,11.5,.468,,.759,,,,14.4,,,,0.1,0.2,0.4,.063,andercl01
14,1969-70,25,DNR,ABA,SG,3,22,6.7,.452,.000,1.500,,,8.0,22.0,31.1,16.3,,0.0,0.0,0.0,.082,andercl01
15,1970-71,26,TOT,NBA,SG,28,198,12.8,.455,,1.031,,,11.5,13.4,,,,0.0,0.1,0.1,.022,andercl01
