,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
0,1971-72,22,FLO,ABA,PF,7,30,5.7,.416,.000,.462,12.7,32.9,22.6,18.1,,27.7,27.9,,-0.1,0.0,0.0,-0.021,allenwi01
1,1962-63,24,STL,NBA,SG,77,2692,11.7,.474,,.304,,,,,,,,,1.3,3.3,4.6,.082,barnhjo01
2,1963-64,25,STL,NBA,SG,74,1367,10.1,.437,,.228,,,,,,,,,-0.2,1.2,1.0,.034,barnhjo01
3,1964-65,26,STL,NBA,SG,41,777,10.1,.419,,.224,,,,14.1,,,,,-0.4,0.8,0.4,.022,barnhjo01
4,1965-66,27,TOT,NBA,PG,76,1617,10.8,.436,,.304,,,,16.3,,,,,-0.3,1.5,1.1,.034,barnhjo01
5,1965-66,27,STL,NBA,PG,31,691,11.8,.466,,.354,,,,16.5,,,,,0.3,0.5,0.9,.059,barnhjo01
6,1965-66,27,DET,NBA,PG,45,926,10.0,.415,,.270,,,,16.2,,,,,-0.7,0.9,0.3,.015,barnhjo01
7,1966-67,28,BAL,NBA,PG,53,1214,10.6,.447,,.230,,,,14.3,,,,,-0.1,0.8,0.7,.026,barnhjo01
8,1967-68,29,SDR,NBA,PG,75,1883,11.4,.463,,.334,,,,18.4,,,,,0.3,1.4,1.7,.044,barnhjo01
9,1968-69,30,BAL,NBA,PG,30,504,11.4,.469,,.371,,,,17.5,,,,,0.2,0.7,1.0,.091,barnhjo01
10,1969-70,31,INA,ABA,SG,77,2374,10.4,.473,.330,.289,,,3.3,17.6,,14.5,17.4,,0.5,1.9,2.5,.050,barnhjo01
11,1970-71,32,TOT,ABA,PG,67,1303,9.3,.441,.296,.270,,,3.9,15.4,,12.5,17.6,,-0.8,1.1,0.3,.010,barnhjo01
12,1970-71,32,INA,ABA,PG,43,619,7.9,.403,.311,.253,,,4.5,16.7,,12.7,18.6,,-0.9,0.6,-0.3,-0.025,barnhjo01
13,1970-71,32,DNR,ABA,PG,24,684,10.5,.477,.282,.286,,,3.4,14.2,,12.2,16.7,,0.1,0.5,0.6,.042,barnhjo01
14,1971-72,33,INA,ABA,PG,19,194,4.9,.363,.402,.172,3.9,5.0,4.5,11.1,,11.4,21.0,,-0.6,0.2,-0.4,-0.110,barnhjo01
15,1966-67,23,CHI,NBA,C,9,65,9.8,.449,,.381,,,,3.9,,,,,0.0,0.1,0.1,.067,bowmana01
16,1967-68,24,NYK,NBA,C,42,272,11.0,.405,,.112,,,,10.0,,,,,-0.4,0.4,0.0,-0.006,bowmana01
17,1968-69,25,NYK,NBA,C,67,607,9.2,.382,,.270,,,,11.3,,,,,-1.0,1.0,0.0,.000,bowmana01
18,1969-70,26,NYK,NBA,C,81,744,8.9,.439,,.336,,,,7.4,,,,,-0.5,1.8,1.3,.083,bowmana01
19,1970-71,27,BUF,NBA,C,44,483,10.0,.413,,.257,,,16.3,11.4,,,,,-0.4,0.4,0.0,.000,bowmana01
20,1971-72,28,PTC,ABA,C,18,217,6.0,.377,.019,.170,13.5,23.1,18.3,6.8,,23.0,12.4,,-0.3,0.0,-0.3,-0.070,bowmana01
21,,27,NOB,ABA,PG,78,2807,10.5,.475,.099,.499,,,3.8,24.5,,24.4,19.0,,2.6,4.0,6.6,.112,brownla01
22,,28,OAK,ABA,PG,77,2381,11.6,.530,.050,.537,,,4.4,27.5,,27.5,17.3,,3.3,2.5,5.8,.116,brownla01
23,,29,WSA,ABA,PG,82,2766,12.1,.537,.046,.514,,,3.9,26.9,,25.4,18.0,,4.1,1.0,5.1,.088,brownla01
24,1970-71,30,TOT,ABA,PG,63,1343,9.2,.508,.062,.662,,,3.6,28.5,,30.0,16.4,,0.9,1.5,2.4,.086,brownla01
25,1970-71,30,VIR,ABA,PG,29,530,9.0,.555,.019,.856,,,4.1,25.4,,33.8,14.4,,0.6,0.5,1.1,.104,brownla01
26,1970-71,30,DNR,ABA,PG,34,813,9.3,.485,.081,.576,,,3.3,30.5,,28.0,17.7,,0.3,1.0,1.3,.074,brownla01
27,1971-72,31,DNR,ABA,PG,76,2012,12.6,.519,.045,.439,2.3,5.2,3.7,34.5,,24.6,16.4,,1.8,3.2,5.0,.118,brownla01
28,1969-70,22,CAR,ABA,SF,57,701,11.2,.460,.000,.427,,,11.2,6.7,,14.0,18.6,,-0.1,0.8,0.7,.049,buntibi02
29,1970-71,23,TOT,ABA,SF,72,1123,9.3,.554,.000,.506,,,9.9,6.2,,19.8,12.3,,1.2,0.7,2.0,.084,buntibi02
30,1970-71,23,NYA,ABA,SF,39,687,8.3,.524,.000,.457,,,10.1,6.2,,21.9,12.9,,0.5,0.4,0.9,.060,buntibi02
31,1970-71,23,VIR,ABA,SF,33,436,11.0,.601,.000,.585,,,9.6,6.3,,16.3,11.4,,0.7,0.4,1.1,.120,buntibi02
32,1971-72,24,VIR,ABA,SF,16,115,3.3,.445,.067,1.133,2.3,9.1,5.7,2.8,,18.2,8.6,,0.0,0.1,0.0,.020,buntibi02
