,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
0,1972-73,24,SDA,ABA,SG,47,425,4.3,.423,.061,.445,8.9,10.0,9.4,12.2,,,24.6,23.2,,-0.7,0.5,-0.1,-0.016,baconhe01
1,1969-70,26,WSA,ABA,SG,84,2262,14.0,.497,.160,.271,,,5.7,16.2,,,15.0,23.3,,2.0,0.7,2.7,.056,barremi01
2,1970-71,27,VIR,ABA,PG,84,2754,11.9,.520,.104,.277,,,4.5,18.8,,,18.7,17.5,,2.7,2.2,4.9,.085,barremi01
3,1972-73,29,SDA,ABA,SG,19,284,4.2,.412,.198,.347,2.6,5.7,4.1,21.8,,,25.1,20.8,,-0.5,0.3,-0.1,-0.022,barremi01
4,,26,HSM,ABA,PF,76,2689,20.4,.523,.010,.301,,,11.5,5.8,,,10.1,21.4,,6.2,3.4,9.6,.171,beckear01
5,1968-69,27,HSM,ABA,SF,78,2429,14.2,.526,.003,.270,,,10.4,6.3,,,13.6,17.1,,3.3,2.1,5.4,.106,beckear01
6,1969-70,28,INA,ABA,PF,82,1504,16.7,.558,.002,.231,,,11.4,4.4,,,8.5,18.1,,3.2,1.4,4.6,.147,beckear01
7,1970-71,29,TOT,ABA,PF,80,1643,16.7,.543,.011,.211,,,11.4,4.5,,,8.7,19.6,,2.8,1.6,4.4,.129,beckear01
8,1970-71,29,INA,ABA,PF,51,840,15.3,.541,.016,.184,,,11.7,3.7,,,9.2,20.0,,1.4,0.9,2.3,.130,beckear01
9,1970-71,29,DNR,ABA,PF,29,803,18.2,.546,.005,.238,,,11.1,5.4,,,8.2,19.1,,1.4,0.7,2.1,.128,beckear01
10,,30,DNR,ABA,PF,84,2193,13.2,.498,.003,.204,6.7,12.9,9.7,7.2,,,11.3,20.0,,1.1,2.7,3.7,.082,beckear01
11,1972-73,31,TOT,ABA,PF,14,96,16.0,.655,.036,.393,5.2,13.9,9.5,1.6,,,13.2,15.8,,0.3,0.0,0.3,.173,beckear01
12,1972-73,31,NYA,ABA,PF,8,46,17.8,.632,.063,.313,2.3,10.7,6.6,3.4,,,5.2,17.1,,0.2,0.0,0.2,.162,beckear01
13,1972-73,31,DLC,ABA,PF,6,50,14.3,.683,.000,.500,7.8,16.8,12.2,0.0,,,21.5,14.6,,0.2,0.0,0.2,.183,beckear01
14,1972-73,26,NYA,ABA,PG,13,236,9.9,.552,.061,.409,0.4,2.9,1.7,21.5,,,20.4,17.0,,0.3,0.0,0.3,.066,brunsge01
15,1972-73,23,DNR,ABA,PF,47,355,7.8,.497,.000,.444,11.0,18.3,14.6,8.5,,,25.4,23.1,,0.1,0.6,0.7,.097,bustida01
16,1968-69,24,MNP,ABA,SF,76,1596,12.2,.459,.009,.454,,,11.7,6.9,,,14.6,16.8,,-0.1,2.5,2.4,.072,cardfr01
17,1969-70,25,WSA,ABA,PF,74,1820,15.3,.556,.008,.429,,,11.6,7.0,,,15.8,18.4,,3.6,0.6,4.2,.110,cardfr01
18,1970-71,26,TOT,ABA,SF,70,1865,11.7,.504,.008,.458,,,11.1,7.8,,,17.3,18.7,,1.2,1.4,2.6,.067,cardfr01
19,1970-71,26,VIR,ABA,,7,70,6.6,.521,.000,.294,,,5.9,3.3,,,20.7,12.2,,0.0,0.0,0.1,.058,cardfr01
20,1970-71,26,CAR,ABA,SF,63,1795,11.9,.503,.008,.462,,,11.3,7.9,,,17.2,18.9,,1.2,1.3,2.5,.067,cardfr01
21,1971-72,27,TOT,ABA,SF,82,1584,9.6,.476,.004,.363,8.5,12.1,10.2,7.1,,,16.5,17.8,,-0.1,2.0,1.9,.058,cardfr01
22,1971-72,27,CAR,ABA,,9,141,3.0,.322,.021,.521,7.5,11.0,9.2,5.7,,,13.2,17.8,,-0.5,0.1,-0.4,-0.125,cardfr01
23,1971-72,27,DNR,ABA,SF,73,1443,10.3,.492,.002,.347,8.6,12.2,10.3,7.2,,,16.8,17.8,,0.4,1.8,2.3,.075,cardfr01
24,1972-73,28,DNR,ABA,SF,4,36,13.8,.507,.000,.867,11.1,8.7,10.0,0.0,,,12.6,25.4,,0.0,0.0,0.1,.087,cardfr01
25,,27,KEN,ABA,SG,77,3192,16.5,.503,.152,.310,,,4.8,8.9,,,11.5,23.5,,6.0,2.7,8.7,.131,carrida01
