,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,id
0,1968-69,22,SDR,NBA,PG,77,1448,11.4,.450,.454,,,,20.3,,,,0.2,2.1,2.2,.074,,,,,,adelmri01
1,1969-70,23,SDR,NBA,PG,35,717,10.2,.453,.368,,,,18.7,,,,-0.2,0.9,0.7,.048,,,,,,adelmri01
2,1970-71,24,POR,NBA,PG,81,2303,13.4,.484,.412,,,5.3,21.2,,,,1.5,1.9,3.4,.071,,,,,,adelmri01
3,1971-72,25,POR,NBA,PG,80,2445,11.5,.481,.267,,,4.4,22.8,,,,1.0,0.5,1.6,.030,,,,,,adelmri01
4,1972-73,26,POR,NBA,PG,76,1822,9.5,.440,.194,,,4.2,20.4,,,,-0.4,0.5,0.1,.003,,,,,,adelmri01
5,1973-74,27,CHI,NBA,PG,55,618,10.0,.447,.447,2.6,9.0,5.8,12.4,2.7,0.1,,-0.3,0.9,0.7,.053,,-3.8,0.8,-3.0,-0.2,adelmri01
6,1974-75,28,TOT,NBA,PG,58,1074,11.1,.474,.354,2.3,6.8,4.5,14.7,2.9,0.4,,0.2,1.2,1.3,.059,,-2.7,0.5,-2.3,-0.1,adelmri01
7,1974-75,28,CHI,NBA,PG,12,340,11.3,.470,.375,1.9,6.2,4.0,15.4,2.3,0.2,,0.1,0.4,0.5,.075,,-2.1,-0.3,-2.4,0.0,adelmri01
8,1974-75,28,NOJ,NBA,PG,28,613,11.2,.473,.371,2.1,7.1,4.5,15.5,3.4,0.5,,0.0,0.6,0.6,.047,,-2.9,0.9,-2.0,0.0,adelmri01
9,1974-75,28,KCO,NBA,PG,18,121,10.0,.497,.179,5.1,6.9,6.0,9.2,2.7,0.4,,0.1,0.1,0.2,.077,,-3.5,0.3,-3.2,0.0,adelmri01
10,1974-75,24,POR,NBA,SG,43,453,11.2,.508,.286,1.9,4.6,3.4,23.7,1.6,0.1,,0.2,0.2,0.5,.050,,-2.8,-2.6,-5.4,-0.4,anderda02
11,1975-76,25,POR,NBA,PG,52,614,13.1,.546,.337,2.6,7.6,5.2,19.2,1.5,0.2,,0.7,0.4,1.1,.086,,-1.5,-1.7,-3.3,-0.2,anderda02
12,1975-76,22,BOS,NBA,SG,22,126,13.0,.586,.356,3.1,7.0,5.1,6.9,1.1,1.2,,0.2,0.1,0.3,.120,,-0.9,-1.8,-2.7,0.0,anderje01
13,1976-77,23,IND,NBA,SG,27,164,10.1,.487,.339,5.2,1.8,3.6,8.3,1.6,0.6,,0.1,0.0,0.1,.027,,-2.8,-3.1,-5.9,-0.2,anderje01
14,1959-60,23,SYR,NBA,SG,57,1235,15.1,.452,.257,,,,,,,,1.1,1.1,2.2,.084,,,,,,barnedi01
15,1960-61,24,SYR,NBA,SG,78,2070,17.1,.492,.282,,,,,,,,4.1,1.7,5.8,.135,,,,,,barnedi01
16,1962-63,26,LAL,NBA,SG,80,2544,16.3,.533,.362,,,,,,,,5.9,2.1,8.0,.150,,,,,,barnedi01
17,1963-64,27,LAL,NBA,SG,78,2620,15.7,.513,.379,,,,,,,,5.3,1.2,6.5,.119,,,,,,barnedi01
18,1964-65,28,LAL,NBA,SG,74,2026,13.3,.483,.372,,,,11.6,,,,2.5,0.9,3.4,.081,,,,,,barnedi01
19,1965-66,29,NYK,NBA,SG,75,2589,18.4,.537,.450,,,,14.7,,,,7.5,0.5,8.0,.149,,,,,,barnedi01
20,1966-67,30,NYK,NBA,SG,67,1969,15.6,.528,.311,,,,11.6,,,,4.2,0.5,4.7,.114,,,,,,barnedi01
21,,31,NYK,NBA,SG,81,2488,16.4,.540,.380,,,,13.9,,,,6.0,1.8,7.7,.149,,,,,,barnedi01
22,1968-69,32,NYK,NBA,SG,82,2953,14.3,.516,.330,,,,13.7,,,,5.2,2.6,7.8,.126,,,,,,barnedi01
23,1969-70,33,NYK,NBA,SG,82,2772,12.9,.516,.313,,,,13.7,,,,3.1,3.7,6.8,.117,,,,,,barnedi01
24,1970-71,34,NYK,NBA,SG,82,2843,12.3,.487,.235,,,3.8,10.8,,,,2.0,3.5,5.5,.093,,,,,,barnedi01
