,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,id
0,1990-91,22,POR,NBA,PF,43,290,13.1,.499,.000,.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,,0.0,0.5,0.5,.079,,-4.2,-0.7,-5.0,-0.2,abdelal01
1,1991-92,23,POR,NBA,PF,71,934,13.5,.533,.000,.280,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,,0.6,1.5,2.1,.110,,-3.0,-0.9,-3.9,-0.5,abdelal01
2,1992-93,24,TOT,NBA,PF,75,1311,13.2,.551,.002,.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,,0.7,1.3,2.0,.074,,-2.3,-1.9,-4.2,-0.7,abdelal01
3,1992-93,24,MIL,NBA,PF,12,159,11.9,.508,.018,.286,8.6,18.3,13.4,9.5,1.9,1.6,17.1,20.5,,0.0,0.2,0.1,.035,,-3.7,-0.5,-4.3,-0.1,abdelal01
4,1992-93,24,BOS,NBA,PF,63,1152,13.4,.557,.000,.240,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,,0.7,1.2,1.9,.079,,-2.1,-2.1,-4.1,-0.6,abdelal01
5,1993-94,25,BOS,NBA,PF,13,159,9.2,.485,.000,.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,,-0.2,0.1,-0.1,-0.032,,-7.1,-3.1,-10.2,-0.3,abdelal01
6,1994-95,26,TOT,NBA,PF,54,506,12.6,.519,.009,.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,,-0.4,0.7,0.3,.027,,-4.6,-1.7,-6.3,-0.6,abdelal01
7,1994-95,26,SAC,NBA,PF,51,476,14.1,.540,.009,.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,,-0.1,0.7,0.6,.058,,-3.6,-1.4,-5.0,-0.4,abdelal01
8,1994-95,26,PHI,NBA,PF,3,30,-12.5,.091,.000,.000,11.6,19.6,15.5,0.0,0.0,0.0,31.3,23.8,,-0.3,0.0,-0.3,-0.466,,-21.1,-6.9,-28.0,-0.2,abdelal01
9,,22,MIL,NBA,C,82,3534,22.5,.552,,.410,,,,13.1,,,,,,9.3,4.5,13.8,.187,,,,,,abdulka01
10,,23,MIL,NBA,C,82,3288,29.0,.606,,.370,,,18.9,12.2,,,,,,17.0,5.3,22.3,.326,,,,,,abdulka01
11,,24,MIL,NBA,C,81,3583,29.9,.603,,.363,,,18.1,16.1,,,,,,18.3,7.1,25.4,.340,,,,,,abdulka01
12,,25,MIL,NBA,C,76,3254,28.5,.580,,.260,,,18.2,17.9,,,,,,14.4,7.5,21.9,.322,,,,,,abdulka01
13,,26,MIL,NBA,C,81,3548,24.4,.564,,.239,8.8,23.9,16.9,16.1,1.4,4.0,,,,10.6,7.9,18.4,.250,,4.9,3.6,8.5,9.4,abdulka01
14,,27,MIL,NBA,C,65,2747,26.4,.550,,.269,7.6,26.4,17.3,16.7,1.1,4.0,,,,8.1,4.8,12.9,.225,,5.9,2.2,8.0,7.0,abdulka01
15,,28,LAL,NBA,C,82,3379,27.2,.567,,.368,8.0,30.5,19.6,19.4,1.6,4.9,,,,9.8,7.2,17.0,.242,,6.2,4.0,10.2,10.5,abdulka01
16,,29,LAL,NBA,C,82,3016,27.8,.608,,.350,9.2,27.2,18.4,16.8,1.5,4.4,,,,11.9,5.9,17.8,.283,,7.7,3.0,10.8,9.7,abdulka01
17,1977-78,30,LAL,NBA,C,62,2265,29.2,.589,,.290,8.7,26.8,18.1,18.3,2.1,4.1,13.3,27.0,,7.7,4.4,12.1,.257,,5.5,3.6,9.0,6.3,abdulka01
18,,31,LAL,NBA,C,80,3157,25.5,.612,,.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,,8.8,5.6,14.4,.219,,3.9,3.9,7.8,7.8,abdulka01
19,,32,LAL,NBA,C,82,3143,25.3,.639,.001,.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,,9.5,5.3,14.8,.227,,4.0,2.7,6.7,6.8,abdulka01
20,,33,LAL,NBA,C,80,2976,25.5,.616,.001,.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,,9.6,4.6,14.3,.230,,3.9,1.4,5.3,5.4,abdulka01
21,,34,LAL,NBA,C,76,2677,23.4,.608,.002,.340,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,,6.9,3.9,10.7,.192,,2.9,1.4,4.3,4.2,abdulka01
22,,35,LAL,NBA,C,79,2554,23.6,.619,.002,.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,,8.0,2.9,10.9,.205,,3.6,0.3,3.8,3.8,abdulka01
23,,36,LAL,NBA,C,80,2622,21.3,.608,.001,.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,,5.9,3.1,8.9,.163,,2.4,0.4,2.8,3.2,abdulka01
24,,37,LAL,NBA,C,79,2630,22.9,.628,.001,.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,,7.6,3.6,11.2,.204,,3.6,1.3,4.9,4.6,abdulka01
25,,38,LAL,NBA,C,79,2629,22.7,.603,.001,.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,,7.6,3.2,10.8,.197,,3.7,0.8,4.5,4.3,abdulka01
26,,39,LAL,NBA,C,78,2441,17.9,.597,.003,.345,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,,4.5,3.0,7.5,.148,,1.2,0.4,1.6,2.2,abdulka01
27,,40,LAL,NBA,C,80,2308,15.8,.570,.001,.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,,2.6,2.7,5.3,.111,,-0.8,0.2,-0.6,0.8,abdulka01
28,,41,LAL,NBA,C,74,1695,12.9,.511,.005,.250,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,,0.9,2.0,2.9,.082,,-2.3,0.0,-2.3,-0.1,abdulka01
29,1990-91,21,DEN,NBA,PG,67,1505,12.2,.448,.099,.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-1.7,-4.4,-6.1,-1.6,abdulma02
30,1991-92,22,DEN,NBA,PG,81,1538,12.6,.469,.111,.128,1.5,6.8,4.0,21.0,1.4,0.2,11.6,26.7,,-0.2,0.8,0.6,.018,,-1.7,-3.5,-5.2,-1.3,abdulma02
31,1992-93,23,DEN,NBA,PG,81,2710,15.6,.515,.140,.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,,3.0,2.2,5.1,.091,,1.1,-2.1,-1.0,0.7,abdulma02
32,1993-94,24,DEN,NBA,PG,80,2617,16.7,.521,.104,.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,.125,,1.6,-2.1,-0.6,0.9,abdulma02
33,1994-95,25,DEN,NBA,PG,73,2082,17.8,.543,.214,.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,,3.8,1.3,5.0,.115,,2.2,-2.8,-0.6,0.7,abdulma02
34,1995-96,26,DEN,NBA,PG,57,2029,18.6,.535,.324,.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,.131,,4.3,-3.1,1.1,1.6,abdulma02
35,1996-97,27,SAC,NBA,PG,75,2131,13.2,.524,.266,.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,.060,,-0.2,-3.4,-3.5,-0.8,abdulma02
36,1997-98,28,SAC,NBA,PG,31,530,10.5,.405,.114,.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,,-0.5,0.2,-0.3,-0.025,,-3.4,-3.7,-7.1,-0.7,abdulma02
37,2000-01,31,VAN,NBA,PG,41,486,16.7,.514,.057,.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,,0.7,0.0,0.7,.070,,0.8,-5.3,-4.5,-0.3,abdulma02
38,1997-98,23,SAC,NBA,SG,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,,-0.8,0.6,-0.2,-0.008,,-4.2,-1.7,-5.9,-0.9,abdulta01
39,1998-99,24,SAC,NBA,SG,49,1205,11.8,.486,.052,.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,.058,,-2.4,-0.4,-2.8,-0.2,abdulta01
40,1999-00,25,TOT,NBA,SG,61,1578,13.6,.477,.036,.299,7.0,13.1,10.0,10.0,1.8,1.2,12.7,22.5,,0.4,1.8,2.2,.068,,-1.6,0.1,-1.5,0.2,abdulta01
41,1999-00,25,ORL,NBA,SG,46,1205,14.4,.484,.041,.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,,0.4,1.6,2.0,.082,,-1.3,0.4,-0.8,0.4,abdulta01
42,1999-00,25,DEN,NBA,SG,15,373,10.8,.448,.015,.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,,0.0,0.2,0.2,.023,,-2.8,-1.0,-3.8,-0.2,abdulta01
43,2000-01,26,DEN,NBA,SG,29,420,5.8,.438,.090,.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.9,0.0,-5.9,-0.4,abdulta01
44,2001-02,27,TOT,NBA,SG,24,441,9.8,.418,.014,.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,,-0.3,0.3,0.0,-0.003,,-3.5,0.3,-3.2,-0.1,abdulta01
45,2001-02,27,DEN,NBA,SG,20,417,10.3,.424,.014,.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,,-0.2,0.3,0.0,.005,,-3.2,0.0,-3.2,-0.1,abdulta01
