,season,school_name,conf_abbr,g,gs,mp,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
0,1966-67,UCLA,AAWU,30,,,.670,,.528,,,,,,,,abdulka01,kareem-abdul-jabbar-1
1,1967-68,UCLA,AAWU,28,,,.619,,.494,,,,,,,,abdulka01,kareem-abdul-jabbar-1
2,1968-69,UCLA,Pac-8,30,,,.637,,.394,,,,,,,,abdulka01,kareem-abdul-jabbar-1
3,1972-73,Indiana,Big Ten,18,,184,.370,,.146,,,,,,17.6,,abernto01,tom-abernethy-1
4,1973-74,Indiana,Big Ten,28,,440,.589,,.425,,,,,,17.1,,abernto01,tom-abernethy-1
5,1974-75,Indiana,Big Ten,32,,384,.542,,.557,,,,,,6.8,,abernto01,tom-abernethy-1
6,1975-76,Indiana,Big Ten,32,,1024,.590,,.312,,,,,,12.3,,abernto01,tom-abernethy-1
7,1972-73,Oklahoma,Big 8,21,,,.568,,.309,,,,,,,,adamsal01,alvan-adams-1
8,1973-74,Oklahoma,Big 8,26,,,.561,,.265,,,,,,,,adamsal01,alvan-adams-1
9,1974-75,Oklahoma,Big 8,26,,,.566,,.349,,,,,,,,adamsal01,alvan-adams-1
10,1976-77,UCLA,Pac-8,6,,18,.276,,.750,,,,,,,,allumda01,darrell-allums-1
11,1977-78,UCLA,Pac-8,28,,416,.568,,.706,,,,,,,,allumda01,darrell-allums-1
12,1978-79,UCLA,Pac-10,28,,398,.558,,.508,,,,,,27.8,,allumda01,darrell-allums-1
13,1979-80,UCLA,Pac-10,30,27,369,.509,,.490,,,,,,,,allumda01,darrell-allums-1
14,1967-68,UTEP,Ind,23,,,.524,,.498,,,,,,,,architi01,tiny-archibald-1
15,1968-69,UTEP,Ind,25,,,.600,,.519,,,,,,,,architi01,tiny-archibald-1
16,1969-70,UTEP,WAC,25,,,.585,,.641,,,,,,,,architi01,tiny-archibald-1
17,1947-48,Villanova,Ind,24,,,,,,,,,,,,,arizipa01,paul-arizin-1
18,1948-49,Villanova,Ind,27,,,,,,,,,,,,,arizipa01,paul-arizin-1
19,1949-50,Villanova,Ind,29,,,.558,,.528,,,,,,,,arizipa01,paul-arizin-1
20,1967-68,Santa Clara,WCAC,26,,,.587,,.425,,,,,,,,awtrede01,dennis-awtrey-1
21,1968-69,Santa Clara,WCAC,29,,,.624,,.466,,,,,,,,awtrede01,dennis-awtrey-1
22,1969-70,Santa Clara,WCAC,29,,,.613,,.536,,,,,,,,awtrede01,dennis-awtrey-1
23,1971-72,UTEP,WAC,27,,,.571,,.855,,,,,,,,bailegu01,gus-bailey-1
24,1972-73,UTEP,WAC,24,,,.557,,.678,,,,,,,,bailegu01,gus-bailey-1
