,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
0,1981-82,Oral Roberts,MW City,22,,702,.634,,,.769,,,,,,14.8,,acresma01,mark-acres-1
1,1982-83,Oral Roberts,MW City,28,28,976,.588,,,.454,,,,,,15.2,,acresma01,mark-acres-1
2,1983-84,Oral Roberts,MW City,31,31,,.579,,,.330,,,,,,13.5,,acresma01,mark-acres-1
3,1984-85,Oral Roberts,MW City,29,29,959,.595,,,.429,,,,,,13.6,,acresma01,mark-acres-1
4,1981-82,Boston College,Big East,26,0,379,.523,,,.592,,,,,,17.5,,adamsmi01,michael-adams-1
5,1982-83,Boston College,Big East,32,,1075,.539,,,.388,,,,,,19.6,,adamsmi01,michael-adams-1
6,1983-84,Boston College,Big East,30,,1026,.509,,,.401,,,,,,15.5,,adamsmi01,michael-adams-1
7,1984-85,Boston College,Big East,31,,1044,.506,,,.288,,,,,,17.0,,adamsmi01,michael-adams-1
8,1982-83,Syracuse,Big East,31,1,572,.542,,,.299,,,,,,14.2,,addisra01,rafael-addison-1
9,1983-84,Syracuse,Big East,32,32,1104,.600,,,.312,,,,,,13.9,,addisra01,rafael-addison-1
10,1984-85,Syracuse,Big East,31,31,1110,.551,,,.308,,,,,,10.5,,addisra01,rafael-addison-1
11,1985-86,Syracuse,Big East,32,32,1012,.562,,,.226,,,,,,14.1,,addisra01,rafael-addison-1
12,1978-79,DePaul,Ind,30,,1206,.562,,,.367,,,,,,,,aguirma01,mark-aguirre-1
13,1979-80,DePaul,Ind,28,,1049,.589,,,.469,,,,,,13.4,,aguirma01,mark-aguirre-1
14,1980-81,DePaul,Ind,29,,1069,.610,,,.285,,,,,,15.1,,aguirma01,mark-aguirre-1
15,1977-78,BYU,WAC,30,,1140,.571,,,.357,,,,,,15.8,,aingeda01,danny-ainge-1
16,1978-79,BYU,WAC,27,,922,.580,,,.298,,,,,,18.9,,aingeda01,danny-ainge-1
17,1979-80,BYU,WAC,29,,984,.568,,,.288,,,,,,12.8,,aingeda01,danny-ainge-1
18,1980-81,BYU,WAC,32,,1212,.566,,,.334,,,,,,13.0,,aingeda01,danny-ainge-1
19,1982-83,Duke,ACC,28,28,785,.562,.494,.008,.487,,13.4,6.7,,1.8,17.8,,alarima01,mark-alarie-1
20,1983-84,Duke,ACC,34,34,1129,.614,,,.440,,13.6,8.2,,2.3,11.2,,alarima01,mark-alarie-1
21,1984-85,Duke,ACC,31,31,935,.615,,,.287,,10.5,9.8,,1.3,13.0,,alarima01,mark-alarie-1
22,1985-86,Duke,ACC,40,40,1193,.588,,,.402,,12.6,3.9,,1.6,11.7,25.2,alarima01,mark-alarie-1
23,1977-78,Kentucky,SEC,27,0,216,.603,,,.554,,,,,,23.3,,aleksch01,chuck-aleksinas-1
24,1978-79,Kentucky,SEC,13,,366,.509,,,.360,,,,,,15.6,,aleksch01,chuck-aleksinas-1
25,1980-81,UConn,Big East,29,29,889,.666,,,.492,,,,,,21.4,,aleksch01,chuck-aleksinas-1
26,1981-82,UConn,Big East,27,25,760,.574,,,.608,,,,,,17.2,,aleksch01,chuck-aleksinas-1
27,1978-79,Kentucky,SEC,29,,807,.572,,,.722,,,,,,15.5,,anderdw01,dwight-anderson-1
28,1979-80,Kentucky,SEC,11,9,282,.510,,,.307,,,,,,17.8,,anderdw01,dwight-anderson-1
29,1980-81,USC,Pac-10,12,,418,.511,,,.344,,,,,,,,anderdw01,dwight-anderson-1
30,1981-82,USC,Pac-10,27,,945,.533,,,.414,,,,,,,,anderdw01,dwight-anderson-1
31,1978-79,Bradley,MVC,26,,994,.490,,,.225,,,,,,,,anderjj01,jj-anderson-1
32,1979-80,Bradley,MVC,33,,1264,.483,,,.196,,,,,,,,anderjj01,jj-anderson-1
33,1980-81,Bradley,MVC,27,,,.503,,,.208,,,,,,,,anderjj01,jj-anderson-1
34,1981-82,Bradley,MVC,36,,,.523,,,.441,,,,,,,,anderjj01,jj-anderson-1
35,1978-79,UCSB,PCAA,20,4,208,.469,,,.190,,,,,,14.9,,anderri01,richard-anderson-1
36,1979-80,UCSB,PCAA,27,,906,.482,,,.244,,,,,,15.2,,anderri01,richard-anderson-1
37,1980-81,UCSB,PCAA,27,,770,.488,,,.267,,,,,,17.2,,anderri01,richard-anderson-1
38,1981-82,UCSB,PCAA,26,,926,.510,,,.345,,,,,,17.7,,anderri01,richard-anderson-1
39,1982-83,Fresno State,PCAA,35,,1303,.588,.549,.002,.300,,11.5,13.7,,1.5,13.5,,anderro01,ron-anderson-1
40,1983-84,Fresno State,PCAA,33,,1197,.596,,,.238,,,,,,12.1,,anderro01,ron-anderson-1
41,1979-80,Rice,SWC,26,,775,.476,,,.444,,,,,,19.4,,austike01,ken-austin-1
42,1980-81,Rice,SWC,27,,832,.475,,,.435,,,,,,21.3,,austike01,ken-austin-1
43,1981-82,Rice,SWC,30,,856,.542,,,.306,,,,,,22.1,,austike01,ken-austin-1
44,1982-83,Rice,SWC,8,,270,.600,,,.360,,,,,,18.1,,austike01,ken-austin-1
45,1979-80,Boston College,Big East,29,,,.528,,,.426,,,,,,20.4,,baglejo01,john-bagley-1
46,1980-81,Boston College,Big East,30,29,965,.572,,,.586,,,,,,20.6,,baglejo01,john-bagley-1
47,1981-82,Boston College,Big East,32,31,1065,.554,,,.394,,,,,,17.6,,baglejo01,john-bagley-1
48,1979-80,North Carolina State,ACC,28,,476,.492,,,.545,,,,,,13.6,,baileth01,thurl-bailey-1
49,1980-81,North Carolina State,ACC,27,,,.546,,,.191,,,,,,,,baileth01,thurl-bailey-1
50,1981-82,North Carolina State,ACC,32,,1192,.595,,,.378,,,,,,,,baileth01,thurl-bailey-1
51,1982-83,North Carolina State,ACC,36,,1310,.528,.511,.030,.255,,,,,,10.3,,baileth01,thurl-bailey-1
52,1977-78,Duke,ACC,34,,1135,.558,,,.324,,,,,,20.5,,banksge01,gene-banks-1
53,1978-79,Duke,ACC,30,,,.520,,,.357,,,,,,,,banksge01,gene-banks-1
54,1979-80,Duke,ACC,33,,1165,.581,,,.453,,,,,,18.6,,banksge01,gene-banks-1
55,1980-81,Duke,ACC,27,,933,.603,,,.383,,13.1,11.4,,0.7,16.0,,banksge01,gene-banks-1
56,1981-82,Auburn,SEC,28,23,746,.608,,,.442,,,,,,13.3,,barklch01,charles-barkley-1
57,1982-83,Auburn,SEC,28,28,782,.648,,,.520,,,,,,20.4,,barklch01,charles-barkley-1
