,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
0,1995-96,University of California,Pac-10,28,,972,.571,.528,.053,.626,,,,,,,,14.4,,,3.1,2.3,5.4,.221,abdursh01,shareef-abdur-rahim-1
1,2002-03,Pepperdine,WCC,28,23,931,.578,.530,.253,.361,,,,,,,,19.4,,,1.8,0.6,2.4,.104,ackeral01,alex-acker-1
2,2003-04,Pepperdine,WCC,29,26,940,.549,.502,.283,.349,,,,,,,,16.8,,,1.6,0.9,2.5,.108,ackeral01,alex-acker-1
3,2004-05,Pepperdine,WCC,31,31,1152,.564,.522,.337,.260,,,,9.5,19.9,,0.9,15.2,22.2,,2.5,1.5,4.0,.140,ackeral01,alex-acker-1
4,2002-03,Arizona,Pac-10,32,5,572,.539,.504,.141,.253,,,,9.8,5.8,,0.9,13.5,24.1,,1.0,1.6,2.6,.183,adamsha01,hassan-adams-1
5,2003-04,Arizona,Pac-10,30,28,915,.615,.593,.268,.285,,,,12.9,9.1,,3.0,12.2,23.2,,3.0,1.8,4.8,.209,adamsha01,hassan-adams-1
6,2004-05,Arizona,Pac-10,37,37,1091,.529,.507,.107,.208,,,,11.8,17.7,,1.1,16.3,23.1,,1.6,2.4,3.9,.145,adamsha01,hassan-adams-1
7,2005-06,Arizona,Pac-10,31,30,1031,.507,.495,.133,.194,,,,8.8,19.4,,1.0,11.4,28.2,,1.2,2.6,3.9,.150,adamsha01,hassan-adams-1
8,2005-06,UConn,Big East,33,1,543,.624,.610,.000,.574,,,,15.8,4.9,,2.9,13.1,16.9,,1.5,1.7,3.1,.230,adrieje01,jeff-adrien-1
9,2006-07,UConn,Big East,31,31,1027,.523,.500,.003,.519,,,,,,,,16.3,,,1.2,3.8,5.0,.195,adrieje01,jeff-adrien-1
10,2007-08,UConn,Big East,33,33,1115,.539,.504,.012,.664,,,,,,,,16.4,,,1.7,2.3,4.0,.143,adrieje01,jeff-adrien-1
11,2008-09,UConn,Big East,36,36,1245,.529,.505,.003,.495,,,,15.2,9.2,,2.3,12.3,20.7,,1.7,3.5,5.2,.166,adrieje01,jeff-adrien-1
12,2004-05,UCLA,Pac-10,29,29,907,.556,.523,.421,.371,,,,6.2,13.4,,0.5,18.0,18.4,,1.4,0.7,2.2,.096,afflaar01,arron-afflalo-1
13,2005-06,UCLA,Pac-10,39,38,1303,.600,.557,.517,.364,,,,8.1,11.9,,0.3,13.3,24.5,,4.4,1.7,6.1,.187,afflaar01,arron-afflalo-1
14,2006-07,UCLA,Pac-10,36,36,1186,.589,.556,.509,.276,,,,,,,,11.0,,,3.9,1.7,5.5,.187,afflaar01,arron-afflalo-1
15,2002-03,Michigan State,Big Ten,27,4,463,.533,.497,.487,.267,,,,8.2,8.2,,2.1,12.4,22.0,,0.7,0.8,1.4,.125,agerma01,maurice-ager-1
16,2003-04,Michigan State,Big Ten,30,4,676,.500,.469,.471,.271,,,,9.8,6.1,,1.0,13.0,23.6,,0.5,0.3,0.8,.050,agerma01,maurice-ager-1
17,2004-05,Michigan State,Big Ten,33,31,867,.612,.560,.419,.429,,,,9.1,13.5,,0.7,13.9,25.5,,3.1,1.3,4.4,.204,agerma01,maurice-ager-1
18,2005-06,Michigan State,Big Ten,34,34,1170,.575,.540,.446,.321,,,,7.3,15.9,,0.7,13.2,29.1,,3.5,1.0,4.5,.153,agerma01,maurice-ager-1
19,2003-04,Missouri State,MVC,33,19,723,.636,.533,.716,.558,,,,,,,,12.0,,,2.9,0.6,3.4,.190,ahearbl01,blake-ahearn-1
20,2004-05,Missouri State,MVC,32,2,671,.569,.487,.523,.401,,,,,,,,11.9,,,1.7,0.6,2.3,.136,ahearbl01,blake-ahearn-1
21,2005-06,Missouri State,MVC,31,31,1001,.592,.527,.538,.343,,,,4.0,15.5,,0.1,14.7,24.3,,3.0,1.0,4.0,.160,ahearbl01,blake-ahearn-1
22,2006-07,Missouri State,MVC,33,32,1023,.664,.610,.620,.368,,,,4.4,14.1,,0.1,14.5,22.6,,4.3,0.8,5.1,.198,ahearbl01,blake-ahearn-1
23,2004-05,Washington State,Pac-10,27,0,311,.399,.400,.700,.046,,,,7.4,11.7,,0.5,10.7,27.2,,-0.6,0.5,-0.1,-.016,akognjo01,josh-akognon-1
24,2005-06,Washington State,Pac-10,28,13,662,.548,.523,.612,.182,,,,6.5,16.6,,0.7,13.5,25.8,,1.5,0.9,2.4,.144,akognjo01,josh-akognon-1
25,2007-08,Cal State Fullerton,Big West,32,32,1013,.612,.572,.625,.252,,,,6.0,9.0,,0.3,9.4,27.1,,3.9,1.3,5.2,.204,akognjo01,josh-akognon-1
26,2008-09,Cal State Fullerton,Big West,32,32,1140,.555,.511,.592,.239,,,,,,,,10.9,,,3.4,0.6,4.0,.140,akognjo01,josh-akognon-1
27,2007-08,Florida State,ACC,10,1,93,.496,.484,.000,.290,,,,13.1,0.0,,8.6,23.8,25.2,,0.1,0.3,0.3,.144,alabiso01,solomon-alabi-1
28,2008-09,Florida State,ACC,35,35,779,.564,.540,.004,.332,,,,14.4,3.6,,7.5,17.6,20.6,,1.5,2.1,3.6,.186,alabiso01,solomon-alabi-1
29,2009-10,Florida State,ACC,32,32,820,.596,.534,.000,.546,343,11.6,15.7,13.8,4.4,1.4,10.4,16.3,22.8,,2.2,2.1,4.3,.210,alabiso01,solomon-alabi-1
30,2007-08,Kansas,Big 12,40,0,330,.554,.518,.000,.458,,,,,,,,17.2,,,0.5,1.8,2.3,.274,aldrico01,cole-aldrich-1
