,season,school_name,conf_abbr,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,ft_per_poss,fta_per_poss,ft_pct,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,poss-dum,off_rtg,def_rtg,id,cbb_id
0,2008-09,Baylor,Big 12,34,10,558,,,.655,,,.655,,,,,,.569,,,,,,,,,,,acyqu01,quincy-acy-1
1,2009-10,Baylor,Big 12,36,0,840,9.6,13.8,.697,9.6,13.8,.697,0.0,0.0,,4.5,6.2,.716,13.1,0.8,1.2,2.0,3.2,6.0,23.7,,129.0,98.9,acyqu01,quincy-acy-1
2,2010-11,Baylor,Big 12,31,18,960,8.6,16.0,.535,8.6,15.9,.539,0.0,0.1,.000,7.0,10.1,.685,14.8,1.8,1.8,2.8,4.1,4.9,24.1,,113.2,93.9,acyqu01,quincy-acy-1
3,2011-12,Baylor,Big 12,38,38,1130,8.3,14.5,.577,8.2,14.2,.576,0.2,0.3,.600,7.2,9.2,.782,14.9,2.0,1.8,3.7,3.7,6.2,24.0,,123.1,95.3,acyqu01,quincy-acy-1
4,2012-13,UCLA,Pac-12,33,27,999,9.5,21.2,.447,6.8,12.6,.543,2.6,8.6,.307,7.4,8.8,.843,7.3,3.3,4.2,0.7,2.3,4.0,29.1,,118.1,97.1,adamsjo01,jordan-adams-1
5,2013-14,UCLA,Pac-12,36,36,1082,11.0,22.6,.485,8.2,14.9,.551,2.7,7.7,.356,8.3,10.0,.836,10.1,4.4,5.0,0.3,2.9,4.1,33.0,,125.1,96.9,adamsjo01,jordan-adams-1
6,2012-13,Pitt,Big East,32,32,749,8.8,15.5,.571,8.8,15.5,.571,0.0,0.0,,2.7,6.2,.443,17.9,1.8,1.9,5.7,3.1,4.6,20.4,,112.9,87.6,adamsst01,steven-adams-1
7,2016-17,Kentucky,SEC,38,38,1145,8.0,13.3,.599,8.0,13.3,.599,0.0,0.0,,7.2,11.1,.653,14.3,1.5,1.2,2.7,3.0,4.6,23.2,,123.6,95.7,adebaba01,edrice-adebayo-1
8,2014-15,Kansas,Big 12,28,6,492,8.9,15.7,.566,8.9,15.7,.566,0.0,0.0,,6.5,9.6,.671,18.0,1.5,0.6,4.5,3.4,6.9,24.3,,118.2,95.0,alexacl01,cliff-alexander-1
9,2016-17,Texas,Big 12,33,33,1061,9.8,17.4,.566,9.8,17.0,.579,0.0,0.4,.000,4.6,8.2,.564,15.3,1.5,1.0,2.8,4.6,3.7,24.3,,104.8,99.9,allenja01,jarrett-allen-1
10,2015-16,Arizona,Pac-12,34,28,848,6.8,14.5,.465,5.5,11.1,.497,1.2,3.4,.360,4.5,6.4,.705,7.2,8.2,2.4,1.8,4.6,5.5,19.3,,107.6,96.2,allenka01,kadeem-allen-1
11,2016-17,Arizona,Pac-12,34,33,1020,6.2,13.8,.453,4.4,9.4,.466,1.9,4.4,.427,5.0,6.8,.741,8.0,5.9,3.1,1.2,3.8,4.8,19.3,,111.3,96.3,allenka01,kadeem-allen-1
12,2007-08,Temple,A-10,34,32,993,,,.558,,,.562,,,.400,,,.737,,,,,,,,,,,allenla01,lavoy-allen-1
13,2008-09,Temple,A-10,33,31,1033,,,.579,,,.600,,,.333,,,.642,,,,,,,,,,,allenla01,lavoy-allen-1
14,2009-10,Temple,A-10,35,34,1206,9.2,17.1,.536,8.9,15.8,.561,0.3,1.2,.217,2.9,4.7,.625,20.1,4.4,1.0,2.7,2.8,4.2,21.5,,117.1,87.0,allenla01,lavoy-allen-1
15,2010-11,Temple,A-10,33,33,1120,8.4,17.5,.480,8.1,16.6,.490,0.3,0.9,.294,3.8,5.4,.697,15.4,4.1,1.3,3.3,2.9,4.1,20.8,,110.0,93.1,allenla01,lavoy-allen-1
16,2012-13,Virginia,ACC,35,17,841,6.9,16.4,.420,5.4,11.3,.473,1.6,5.1,.303,5.3,6.9,.764,9.0,6.3,2.3,3.3,3.3,3.8,20.6,,108.9,90.6,anderju01,justin-anderson-1
17,2013-14,Virginia,ACC,37,5,799,7.9,19.5,.407,5.5,11.1,.493,2.5,8.4,.294,5.6,7.9,.716,9.9,4.5,1.1,2.3,4.2,4.8,24.0,,103.4,93.5,anderju01,justin-anderson-1
18,2014-15,Virginia,ACC,26,22,724,9.7,20.8,.466,5.3,11.0,.479,4.4,9.8,.452,6.0,7.7,.780,9.9,4.2,1.6,1.3,2.9,2.8,29.9,,123.5,89.4,anderju01,justin-anderson-1
19,2012-13,UCLA,Pac-12,35,34,1046,6.7,16.1,.416,6.3,14.0,.447,0.4,2.1,.211,4.7,6.4,.735,16.6,6.7,3.4,1.7,4.0,4.0,18.6,,102.5,91.7,anderky01,kyle-anderson-3
20,2013-14,UCLA,Pac-12,36,36,1196,8.6,18.0,.480,7.3,15.2,.480,1.3,2.8,.483,6.5,8.9,.737,15.0,11.1,3.1,1.3,5.3,2.9,25.2,,113.4,95.4,anderky01,kyle-anderson-3
21,2016-17,UCLA,Pac-12,29,0,377,8.1,14.4,.564,8.1,14.4,.564,0.0,0.0,,3.3,6.1,.535,16.7,0.9,0.7,5.0,3.4,10.3,19.6,,109.0,98.4,anigbik01,ike-anigbogu-1
22,2015-16,Indiana,Big Ten,34,0,466,8.2,14.4,.569,6.6,10.8,.609,1.6,3.6,.448,2.5,5.2,.476,11.2,2.2,3.4,3.2,3.5,6.5,20.5,,116.9,97.6,anunoog01,og-anunoby-1
23,2016-17,Indiana,Big Ten,16,10,402,9.7,17.5,.557,7.7,11.0,.701,2.0,6.4,.311,3.9,6.9,.563,12.5,3.3,3.0,3.0,3.7,4.7,25.3,,118.5,99.4,anunoog01,og-anunoby-1
24,2010-11,Michigan State,Big Ten,34,19,780,5.6,12.8,.436,2.6,5.4,.471,3.0,7.4,.411,2.6,3.0,.895,7.5,3.5,1.6,1.2,4.1,5.9,16.9,,103.3,103.0,applike01,keith-appling-1
25,2011-12,Michigan State,Big Ten,37,37,1139,7.1,16.6,.427,5.8,11.4,.507,1.3,5.2,.250,7.2,9.2,.788,5.7,7.8,2.3,0.8,4.6,4.9,22.7,,110.1,95.5,applike01,keith-appling-1
26,2012-13,Michigan State,Big Ten,36,36,1208,8.0,19.2,.415,5.9,12.7,.464,2.1,6.6,.320,6.6,8.8,.749,6.3,6.1,2.4,1.0,4.3,4.2,24.6,,107.5,95.5,applike01,keith-appling-1
27,2013-14,Michigan State,Big Ten,35,32,1102,7.3,16.1,.452,5.4,10.9,.495,1.9,5.2,.362,5.1,7.8,.660,5.8,8.6,2.3,0.8,4.1,5.3,21.5,,111.1,102.1,applike01,keith-appling-1
28,2012-13,Villanova,Big East,34,34,1156,5.4,15.9,.343,1.8,4.7,.380,3.6,11.1,.327,6.3,7.6,.824,3.7,6.1,2.0,0.0,4.9,4.4,20.8,,102.3,101.9,arcidry01,ryan-arcidiacono-1
