,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
0,1973-74,27,CHI,NBA,PG,55,,618,4.7,12.6,.376,4.0,5.6,.711,1.2,3.9,5.1,4.1,2.7,0.1,4.7,13.5,,,94,adelmri01
1,1974-75,28,TOT,NBA,PG,58,,1074,5.2,12.3,.423,3.1,4.4,.709,1.1,3.0,4.0,4.7,3.0,0.3,4.3,13.5,,,97,adelmri01
2,1974-75,28,CHI,NBA,PG,12,,340,6.1,14.7,.413,4.0,5.5,.718,0.8,2.8,3.7,5.0,2.3,0.1,4.4,16.1,,,96,adelmri01
3,1974-75,28,NOJ,NBA,PG,28,,613,4.8,11.4,.421,2.9,4.2,.695,0.9,3.0,3.9,4.9,3.4,0.4,4.2,12.5,,,98,adelmri01
4,1974-75,28,KCO,NBA,PG,18,,121,4.9,10.6,.464,1.5,1.9,.800,2.3,3.0,5.3,3.0,2.7,0.4,4.6,11.4,,,98,adelmri01
5,1974-75,24,POR,NBA,SG,43,,453,4.8,10.6,.448,2.6,3.0,.867,0.8,2.1,2.9,8.2,1.6,0.1,4.5,12.1,,,102,anderda02
6,1975-76,25,POR,NBA,PG,52,,614,6.4,13.1,.486,3.7,4.4,.836,1.1,3.4,4.5,6.2,1.5,0.1,4.2,16.5,,,101,anderda02
7,1975-76,22,BOS,NBA,SG,22,,126,8.9,16.0,.556,3.9,5.7,.688,1.4,3.2,4.6,2.1,1.1,1.1,8.9,21.7,,,99,anderje01
8,1976-77,23,IND,NBA,SG,27,,164,7.1,16.1,.441,3.8,5.5,.700,2.5,0.8,3.3,2.7,1.6,0.5,7.1,18.0,,,106,anderje01
9,1973-74,37,NYK,NBA,SG,5,,58,8.0,20.8,.385,1.6,2.4,.667,0.8,2.4,3.2,4.8,0.8,0.0,1.6,17.6,,,99,barnedi01
10,1973-74,29,GSW,NBA,SG,77,,1689,9.1,19.7,.464,4.8,5.9,.814,2.0,3.8,5.8,5.5,1.5,0.3,3.8,23.1,,,101,barneji02
11,1974-75,30,TOT,NBA,SG,73,,1776,7.2,16.4,.437,5.0,6.0,.836,1.5,3.0,4.5,4.4,1.2,0.4,4.0,19.3,,,102,barneji02
12,1974-75,30,NOJ,NBA,SG,45,,1238,7.6,17.0,.448,5.5,6.7,.830,1.6,2.9,4.5,4.9,1.2,0.6,3.9,20.8,,,102,barneji02
13,1974-75,30,NYK,NBA,SG,28,,538,6.1,14.9,.407,3.7,4.3,.860,1.3,3.1,4.4,3.4,1.0,0.0,4.4,15.8,,,102,barneji02
14,1975-76,31,NYK,NBA,SG,71,,1026,7.4,16.7,.442,4.0,5.1,.789,2.2,1.8,4.0,4.0,1.1,0.1,3.9,18.8,,,103,barneji02
15,1976-77,32,PHI,NBA,SG,16,,231,5.4,12.3,.438,1.9,3.5,.556,1.3,1.3,2.7,4.4,0.8,0.0,5.4,12.7,,,104,barneji02
16,1976-77,23,SEA,NBA,SG,4,,10,9.0,27.0,.333,0.0,0.0,,9.0,4.5,13.5,4.5,0.0,0.0,22.5,18.0,,,103,barnhno01
17,1975-76,24,PHI,NBA,SF,21,,105,3.4,11.1,.308,4.3,6.8,.625,5.5,6.4,11.9,1.3,2.6,2.1,13.6,11.1,,,95,baskeje01
18,1973-74,22,NYK,NBA,SF,1,,4,0.0,11.6,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,103,bellde01
19,1974-75,23,NYK,NBA,SF,52,,465,6.8,18.1,.376,2.0,3.6,.556,4.8,5.7,10.5,2.5,2.2,0.9,5.4,15.6,,,97,bellde01
20,1975-76,24,NYK,NBA,SF,10,,76,4.9,12.7,.381,1.8,4.2,.429,2.4,6.1,8.5,1.8,3.6,0.6,6.7,11.5,,,95,bellde01
21,1973-74,34,ATL,NBA,C,77,,2440,6.9,14.2,.486,4.1,6.8,.608,4.7,8.5,13.1,3.4,0.9,0.9,4.1,18.0,,,99,bellawa01
22,1974-75,35,NOJ,NBA,C,1,,14,6.3,6.3,1.000,6.3,6.3,1.000,0.0,15.7,15.7,0.0,0.0,0.0,6.3,18.8,,,97,bellawa01
23,1974-75,24,CHI,NBA,SG,39,,252,6.7,18.0,.372,2.9,3.4,.833,2.7,4.6,7.3,4.8,2.1,1.1,7.8,16.2,,,94,benbole01
24,1975-76,25,CHI,NBA,SG,76,,1586,6.6,16.6,.397,3.2,4.2,.750,2.0,3.4,5.3,4.8,1.9,0.3,5.6,16.4,,,99,benbole01
25,1973-74,29,KCO,NBA,PF,82,,1777,7.0,16.1,.434,4.2,5.2,.796,3.3,6.6,9.9,2.4,1.7,0.9,5.8,18.2,,,99,blockjo01
26,1974-75,30,TOT,NBA,PF,54,,939,8.1,17.6,.460,5.8,7.3,.792,3.5,8.3,11.8,2.6,2.1,1.6,6.2,22.0,,,92,blockjo01
27,1974-75,30,NOJ,NBA,PF,4,,57,6.9,22.3,.310,6.9,7.7,.900,4.6,9.2,13.9,5.4,3.1,0.8,8.5,20.8,,,94,blockjo01
28,1974-75,30,CHI,NBA,PF,50,,882,8.2,17.3,.473,5.7,7.3,.784,3.4,8.2,11.7,2.4,2.1,1.7,6.0,22.1,,,92,blockjo01
29,1975-76,31,CHI,NBA,PF,2,,7,13.7,27.4,.500,0.0,13.7,.000,0.0,13.7,13.7,0.0,6.8,0.0,13.7,27.4,,,84,blockjo01
30,1974-75,22,NOJ,NBA,SF,6,,25,12.3,22.8,.538,8.8,19.3,.455,5.3,3.5,8.8,3.5,5.3,0.0,3.5,33.3,,,94,boydke01
31,1973-74,23,ATL,NBA,PG,75,,1463,7.1,15.4,.463,2.0,2.8,.719,0.8,3.6,4.3,6.8,1.8,0.1,4.6,16.3,,,101,bracest01
32,1974-75,24,GSW,NBA,SG,42,,340,7.1,17.1,.415,3.3,5.0,.658,1.3,3.7,5.0,6.8,1.8,0.1,5.4,17.5,,,100,bracest01
33,1973-74,30,NYK,NBA,SF,82,,2813,8.3,18.3,.451,2.4,2.8,.874,1.0,3.2,4.2,4.0,0.7,0.3,4.6,19.0,,,99,bradlbi01
34,1974-75,31,NYK,NBA,SF,79,,2787,7.5,17.3,.436,2.4,2.8,.873,1.1,3.1,4.2,4.1,1.2,0.3,4.7,17.5,,,102,bradlbi01
35,1975-76,32,NYK,NBA,SF,82,,2709,6.7,15.4,.433,2.2,2.5,.878,0.8,3.2,4.0,4.2,1.2,0.3,4.4,15.6,,,102,bradlbi01
36,1976-77,33,NYK,NBA,SF,67,,1027,5.5,11.8,.464,1.5,1.8,.810,1.2,3.3,4.5,5.5,1.1,0.3,5.3,12.5,,,103,bradlbi01
37,1973-74,34,LAL,NBA,PF,65,,1812,5.1,12.2,.421,2.8,3.9,.707,4.6,7.3,11.8,3.5,1.4,0.7,5.2,13.0,,,97,bridgbi01
38,1974-75,35,TOT,NBA,PF,32,,415,3.8,10.1,.376,1.8,3.7,.500,6.9,7.6,14.5,3.4,1.2,0.5,7.0,9.4,,,100,bridgbi01
