,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
0,1973-74,27,HOU,NBA,C,79,,2459,6.2,13.5,.459,3.5,4.4,.804,4.8,12.2,17.0,3.1,1.5,1.9,,4.2,15.9,,,96,abdulza01
1,1974-75,28,HOU,NBA,C,65,,1450,7.6,17.3,.437,5.1,6.5,.783,5.0,10.7,15.7,2.7,1.2,2.4,,4.1,20.2,,,96,abdulza01
2,1975-76,29,SEA,NBA,C,27,,223,7.0,15.0,.467,3.2,5.8,.552,6.0,9.2,15.2,3.2,1.6,3.0,,5.8,17.2,,,95,abdulza01
3,1976-77,30,BUF,NBA,C,22,,195,5.7,17.0,.338,7.6,9.9,.767,9.4,11.2,20.6,1.6,0.7,2.1,,4.8,19.0,,,99,abdulza01
4,1977-78,31,TOT,NBA,PF-C,16,,158,6.8,17.9,.383,5.1,6.8,.739,5.7,9.2,14.9,3.0,0.9,0.9,4.2,8.6,18.8,,93,104,abdulza01
5,1977-78,31,BOS,NBA,C,2,,24,5.7,24.5,.231,3.8,5.7,.667,11.3,17.0,28.3,5.7,1.9,1.9,5.7,7.6,15.1,,74,92,abdulza01
6,1977-78,31,HOU,NBA,PF,14,,134,7.1,16.6,.426,5.3,7.1,.750,4.6,7.8,12.4,2.5,0.7,0.7,3.9,8.8,19.4,,99,107,abdulza01
7,1973-74,26,MIL,NBA,PG,72,,2388,10.0,20.3,.495,4.1,5.2,.788,1.7,3.9,5.6,7.1,2.6,0.4,,4.1,24.2,,,95,allenlu01
8,1974-75,27,TOT,NBA,PG,66,,2353,9.9,22.6,.437,4.6,5.9,.778,1.7,3.6,5.4,7.2,2.6,0.6,,4.2,24.3,,,100,allenlu01
9,1974-75,27,MIL,NBA,PG,10,,342,9.3,22.5,.415,4.3,5.1,.838,1.2,3.0,4.3,7.3,1.9,0.1,,3.2,23.0,,,100,allenlu01
10,1974-75,27,LAL,NBA,PG,56,,2011,9.9,22.6,.440,4.6,6.0,.770,1.8,3.7,5.5,7.2,2.7,0.6,,4.4,24.5,,,100,allenlu01
11,1975-76,28,LAL,NBA,PG,76,,2388,8.6,18.7,.459,3.7,4.7,.776,1.2,2.8,4.0,6.6,1.9,0.4,,4.5,20.8,,,101,allenlu01
12,1976-77,29,LAL,NBA,PG,78,,2482,8.7,19.1,.456,3.6,4.7,.774,1.1,3.6,4.6,7.5,2.1,0.4,,3.4,21.0,,,101,allenlu01
13,1977-78,30,KCK,NBA,PG,77,,2147,7.7,17.5,.441,3.6,4.5,.791,1.4,3.4,4.7,7.4,1.9,0.6,4.5,3.7,19.0,,95,104,allenlu01
14,1978-79,31,KCK,NBA,PG,31,,413,7.5,18.9,.397,2.1,3.6,.576,1.5,3.5,5.0,4.8,2.3,0.7,3.3,5.6,17.0,,87,103,allenlu01
15,1978-79,23,POR,NBA,SF,21,,224,5.0,16.0,.312,3.1,5.8,.536,3.5,5.8,9.3,3.1,0.8,1.0,4.6,8.7,13.1,,75,105,anderki01
16,1977-78,22,CHI,NBA,SG,66,,716,8.7,18.5,.468,1.5,1.8,.815,1.6,2.9,4.5,4.9,1.5,0.0,3.8,2.8,18.8,,94,106,armstta01
17,1978-79,23,CHI,NBA,SG,26,,259,5.0,12.6,.400,1.8,2.3,.769,1.3,2.3,3.6,5.6,1.8,0.0,3.8,4.0,11.9,,86,107,armstta01
18,1976-77,21,ATL,NBA,C,59,,1354,6.2,14.8,.417,3.8,5.6,.683,3.8,9.8,13.6,2.0,1.1,1.4,,7.6,16.1,,,99,barketo01
