,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
0,1990-91,22,POR,NBA,PF,43,0,290,9.1,19.1,.474,0.0,0.0,,9.1,19.1,.474,4.1,7.2,.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,,99,103,abdelal01
1,1991-92,23,POR,NBA,PF,71,1,934,9.2,18.7,.493,0.0,0.0,,9.2,18.7,.493,3.9,5.2,.752,4.2,9.3,13.5,1.6,1.3,0.8,3.4,6.9,22.4,,105,103,abdelal01
2,1992-93,24,TOT,NBA,PF,75,52,1311,9.4,18.2,.518,0.0,0.0,.000,9.4,18.2,.519,3.4,4.5,.759,4.9,8.1,13.0,1.0,1.0,1.0,3.7,7.3,22.3,,104,108,abdelal01
3,1992-93,24,MIL,NBA,PF,12,0,159,8.2,17.6,.464,0.0,0.3,.000,8.2,17.3,.473,3.8,5.0,.750,3.8,7.9,11.6,3.1,1.9,1.3,4.1,7.5,20.1,,97,108,abdelal01
4,1992-93,24,BOS,NBA,PF,63,52,1152,9.6,18.3,.525,0.0,0.0,,9.6,18.3,.525,3.3,4.4,.760,5.0,8.2,13.2,0.7,0.8,1.0,3.7,7.2,22.6,,105,108,abdelal01
5,1993-94,25,BOS,NBA,PF,13,0,159,7.6,17.4,.436,0.0,0.0,,7.6,17.4,.436,5.1,7.9,.640,3.8,10.7,14.5,0.9,0.6,0.9,5.4,6.3,20.2,,86,108,abdelal01
6,1994-95,26,TOT,NBA,PF,54,0,506,12.1,23.8,.511,0.0,0.2,.000,12.1,23.5,.515,2.1,3.6,.571,3.8,7.9,11.7,1.3,1.5,1.2,4.6,10.7,26.3,,94,105,abdelal01
7,1994-95,26,SAC,NBA,PF,51,0,476,12.8,24.0,.532,0.0,0.2,.000,12.8,23.8,.537,2.2,3.8,.571,3.7,7.9,11.6,1.4,1.6,1.3,4.4,11.1,27.7,,98,105,abdelal01
8,1994-95,26,PHI,NBA,PF,3,0,30,1.8,19.3,.091,0.0,0.0,,1.8,19.3,.091,0.0,0.0,,5.3,8.8,14.1,0.0,0.0,0.0,8.8,3.5,3.5,,26,113,abdelal01
9,,26,MIL,NBA,C,81,,3548,12.2,22.6,.539,,,,12.2,22.6,.539,3.8,5.4,.702,3.7,11.4,15.1,5.0,1.4,3.6,,3.1,28.1,,,89,abdulka01
10,,27,MIL,NBA,C,65,,2747,13.9,27.1,.513,,,,13.9,27.1,.513,5.6,7.3,.763,3.3,12.3,15.6,4.5,1.1,3.6,,3.5,33.4,,,92,abdulka01
11,,28,LAL,NBA,C,82,,3379,12.0,22.7,.529,,,,12.0,22.7,.529,5.9,8.4,.703,3.6,14.6,18.2,5.4,1.6,4.4,,3.8,29.9,,,90,abdulka01
